algorithm,array_type,n,time_ms,char_cmps
MSD Radix + TStrQSort,reverse_sorted,1100,0.445608,5171
QuickSort (std),reverse_sorted,1200,1.45275,30918
MergeSort (std),reverse_sorted,1200,1.84335,9550
Ternary String QSort,reverse_sorted,1200,0.560983,10017
String MergeSort (LCP),reverse_sorted,1200,3.09387,7374
MSD Radix Sort,reverse_sorted,1200,1.51667,2925
MSD Radix + TStrQSort,reverse_sorted,1200,0.476217,5669
QuickSort (std),reverse_sorted,1300,1.46003,29634
MergeSort (std),reverse_sorted,1300,1.99308,10287
Ternary String QSort,reverse_sorted,1300,0.5887,11087
String MergeSort (LCP),reverse_sorted,1300,3.35349,8053
MSD Radix Sort,reverse_sorted,1300,1.63341,3167
MSD Radix + TStrQSort,reverse_sorted,1300,0.52465,6132
QuickSort (std),reverse_sorted,1400,1.87637,42300
MergeSort (std),reverse_sorted,1400,2.17956,11209
Ternary String QSort,reverse_sorted,1400,0.640158,12066
String MergeSort (LCP),reverse_sorted,1400,3.63857,8735
MSD Radix Sort,reverse_sorted,1400,1.74827,3405
MSD Radix + TStrQSort,reverse_sorted,1400,0.55765,6588
QuickSort (std),reverse_sorted,1500,2.29763,54439
MergeSort (std),reverse_sorted,1500,2.38232,12103
Ternary String QSort,reverse_sorted,1500,0.686042,13016
String MergeSort (LCP),reverse_sorted,1500,3.94727,9479
MSD Radix Sort,reverse_sorted,1500,1.87456,3653
MSD Radix + TStrQSort,reverse_sorted,1500,0.595742,7056
QuickSort (std),reverse_sorted,1600,2.28438,52777
MergeSort (std),reverse_sorted,1600,2.50648,12970
Ternary String QSort,reverse_sorted,1600,0.735542,13943
String MergeSort (LCP),reverse_sorted,1600,4.18295,10189
MSD Radix Sort,reverse_sorted,1600,1.99571,3889
MSD Radix + TStrQSort,reverse_sorted,1600,0.633683,7541
QuickSort (std),reverse_sorted,1700,2.12401,44269
MergeSort (std),reverse_sorted,1700,2.67338,13960
Ternary String QSort,reverse_sorted,1700,0.78625,14898
String MergeSort (LCP),reverse_sorted,1700,4.48157,10881
MSD Radix Sort,reverse_sorted,1700,2.15809,4119
MSD Radix + TStrQSort,reverse_sorted,1700,0.671125,7987
QuickSort (std),reverse_sorted,1800,2.04676,40663
MergeSort (std),reverse_sorted,1800,2.86226,14992
Ternary String QSort,reverse_sorted,1800,0.838658,15917
String MergeSort (LCP),reverse_sorted,1800,4.76446,11671
MSD Radix Sort,reverse_sorted,1800,2.74022,4358
MSD Radix + TStrQSort,reverse_sorted,1800,0.714258,8438
QuickSort (std),reverse_sorted,1900,2.55268,54527
MergeSort (std),reverse_sorted,1900,3.02373,15893
Ternary String QSort,reverse_sorted,1900,0.88025,16864
String MergeSort (LCP),reverse_sorted,1900,5.0471,12429
MSD Radix Sort,reverse_sorted,1900,2.31033,4599
MSD Radix + TStrQSort,reverse_sorted,1900,0.749158,8903
QuickSort (std),reverse_sorted,2000,2.87995,65665
MergeSort (std),reverse_sorted,2000,3.18849,17031
Ternary String QSort,reverse_sorted,2000,0.948591,18015
String MergeSort (LCP),reverse_sorted,2000,5.34374,13266
MSD Radix Sort,reverse_sorted,2000,2.43931,4835
MSD Radix + TStrQSort,reverse_sorted,2000,0.798934,9341
QuickSort (std),reverse_sorted,2100,3.08559,70306
MergeSort (std),reverse_sorted,2100,3.36959,17921
Ternary String QSort,reverse_sorted,2100,1.00383,19161
String MergeSort (LCP),reverse_sorted,2100,5.6776,13985
MSD Radix Sort,reverse_sorted,2100,2.58,5088
MSD Radix + TStrQSort,reverse_sorted,2100,0.840217,9804
QuickSort (std),reverse_sorted,2200,3.34563,74928
MergeSort (std),reverse_sorted,2200,3.53869,18556
Ternary String QSort,reverse_sorted,2200,1.07778,20246
String MergeSort (LCP),reverse_sorted,2200,5.91945,14591
MSD Radix Sort,reverse_sorted,2200,2.70354,5332
MSD Radix + TStrQSort,reverse_sorted,2200,0.88235,10287
QuickSort (std),reverse_sorted,2300,3.32478,76050
MergeSort (std),reverse_sorted,2300,3.73345,19558
Ternary String QSort,reverse_sorted,2300,1.11847,21202
String MergeSort (LCP),reverse_sorted,2300,6.20747,15281
MSD Radix Sort,reverse_sorted,2300,2.83917,5572
MSD Radix + TStrQSort,reverse_sorted,2300,0.922358,10734
QuickSort (std),reverse_sorted,2400,3.12627,65948
MergeSort (std),reverse_sorted,2400,4.01203,20171
Ternary String QSort,reverse_sorted,2400,1.18805,22257
String MergeSort (LCP),reverse_sorted,2400,6.53021,15932
MSD Radix Sort,reverse_sorted,2400,2.94978,5817
MSD Radix + TStrQSort,reverse_sorted,2400,0.955908,11211
QuickSort (std),reverse_sorted,2500,3.01,59867
MergeSort (std),reverse_sorted,2500,4.05839,21021
Ternary String QSort,reverse_sorted,2500,1.23132,23295
String MergeSort (LCP),reverse_sorted,2500,6.79257,16664
